日期,s0050,s0056,s00632R,s00878,s1101,s1102,s1216,s1301,s1303,s1326,s1402,s1476,s1590,s1605,s1722,s1802,s2002,s2059,s2105,s2201,s2204,s2207,s2227,s2301,s2303,s2308,s2317,s2323,s2324,s2327,s2330,s2337,s2344,s2345,s2347,s2349,s2352,s2353,s2354,s2356,s2357,s2363,s2371,s2377,s2379,s2382,s2383,s2388,s2395,s2401,s2408,s2409,s2412,s2448,s2454,s2474,s2492,s2498,s2603,s2609,s2610,s2615,s2618,s2633,s2801,s2823,s2880,s2881,s2882,s2883,s2884,s2885,s2886,s2887,s2888,s2890,s2891,s2892,s2912,s3008,s3017,s3034,s3037,s3045,s3231,s3481,s3661,s3663,s3673,s3711,s4904,s4938,s5871,s5876,s5880,s6116,s6239,s6415,s6446,s6505,s6669,s6770,s6919,s8046,s8454,s9904,s9910
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,0.7102363099938959,0.9518708176139413,0.8557692307692307,,0.8553971877638133,0.04111471644083473,0.8580105585772575,0.9437460516759045,0.8772611084594992,0.4867892923071668,0.2769222297336706,0.5435516804051703,0.7820297215027923,0.8840340075210406,0.808159870449646,0.7848680322606574,0.9135791032504914,0.7303640973777655,0.8541179330656977,0.6538879066275404,0.5859113183039663,0.713540261949676,0.548900053337985,0.6923335856065718,0.6690095536129842,0.8815379057445336,0.8408494979773248,0.948861708362012,0.36087627668100003,0.13785843001895806,0.8950687656663975,0.9352596921126867,0.9872899414649362,0.715103070812668,0.8203271452172095,0.9010824527080555,0.26476480266127356,0.5685132326419814,0.8062743568719578,0.6667982532459229,0.07753298017080054,0.9333174202158,0.5437412571916875,0.8636389786594011,0.9355237301064595,0.8110967818278935,0.7988969903172576,0.9121491673703941,0.89816438290405,1.0,0.8271269541426477,0.6632986480944468,0.8641689613760013,0.9029237682235609,0.6445198021835579,0.37940498317708476,0.9618913515001277,0.9813187498827594,0.8177059203539462,0.6696167151014989,0.775855406445959,0.9534028298624975,0.5340243747777862,0.877588391566121,0.9502332421768425,0.26079300519438214,0.5373335300679181,0.8399798675541512,0.7649493711900404,0.9452214958365946,0.36351521717710256,0.2804647242101838,0.5370861555295746,0.9437951290895013,0.2795835094161975,0.8727288607590463,0.5905660864591201,0.9743867986621705,0.9663222140197438,0.9329533404281681,0.7351904610017496,0.9826622074772406,0.7631326135757757,0.8933550970875035,0.6191346382288128,0.9591516110897117,0.972521444938677,0.9953656225443637,0.5564729492793142,0.7626275349127897,0.8126377414143798,0.3869144427877619,0.5712949539663836,0.6361461804561631,0.6511703401541539,0.7752430437661928,0.522769524520323,0.6081327799491674,0.9270771896835122,0.9453310223288879,0.7665138301376327,,,0.9702807859236628,0.5893707378365354,0.5968950247374057,0.3237438546978949
2020-03-09,0.7078226792883471,0.8960880565306049,0.8942307692307693,,0.9089610634131251,0.05428593153182125,0.8869991030964299,0.9492893498646996,0.8877669611072536,0.3691009710233155,0.41488092436177837,0.37376060065436967,0.8897275661666988,0.7082146599614976,0.8239609309023203,0.5897014845308721,0.9098288389491027,0.6293168771613309,0.7127830957780915,0.7052826520242936,0.5949291683912079,0.700393437591416,0.8827922069357078,0.8300899516340532,0.5927010822238215,0.9154305823011226,0.8027433340815396,0.9367492951134123,0.28324734614357205,0.10341619934804547,0.8727412652790134,0.9244320588931432,0.969814385914109,0.7762048609759228,0.8650296843529249,0.8537009703689206,0.28723624245126084,0.4565018267481661,0.8137660776299106,0.759715373162861,0.11880122760323106,0.9717006547355095,0.4656599107994894,0.9177694817678488,0.7195367309696363,0.7627965148281002,0.7903433564255486,0.9351265743381281,0.89816438290405,0.9930564940936969,0.6022853597800876,0.7066213688235825,0.8886458406373924,0.9433763912588525,0.8190467011150702,0.37503291171359276,0.9702807859236628,0.9523741669282227,0.7418463583556958,0.6394314790067502,0.8232437204187073,0.872291670495276,0.5717718748968657,0.9037582183008671,0.9449974564340442,0.3031825236371513,0.6550905250145852,0.8504557636285733,0.799884430202163,0.9480775143391714,0.4502401339860907,0.3166129301908874,0.6088819072663718,0.9743867986621705,0.16724192694099105,0.8901324824576494,0.7288980179590997,0.8922774214249072,0.8167433443675433,0.9052085361985394,0.786369417261419,0.9932167367091084,0.8009149386702874,0.8136155056576817,0.6018676970762147,0.9725337848778044,1.0,0.9955289283976039,0.5729791728615565,0.6558458734842625,0.7833957616820131,0.8253924902687381,0.6470192579238213,0.4496732725577444,0.5867302300023132,0.7402787816060413,0.8467571302627925,0.5074752585317218,0.9446380270030929,0.9011813015222523,0.801176087523853,,,0.9520491687317482,0.679353178889269,0.5566963127202345,0.45358881022973924
