日期,s0050,s0056,s00632R,s00878,s1101,s1102,s1216,s1301,s1303,s1326,s1402,s1476,s1590,s1605,s1722,s1802,s2002,s2059,s2105,s2201,s2204,s2207,s2227,s2301,s2303,s2308,s2317,s2323,s2324,s2327,s2330,s2337,s2344,s2345,s2347,s2349,s2352,s2353,s2354,s2356,s2357,s2363,s2371,s2377,s2379,s2382,s2383,s2388,s2395,s2401,s2408,s2409,s2412,s2448,s2454,s2474,s2492,s2498,s2603,s2609,s2610,s2615,s2618,s2633,s2801,s2823,s2880,s2881,s2882,s2883,s2884,s2885,s2886,s2887,s2888,s2890,s2891,s2892,s2912,s3008,s3017,s3034,s3037,s3045,s3231,s3481,s3661,s3663,s3673,s3711,s4904,s4938,s5871,s5876,s5880,s6116,s6239,s6415,s6446,s6505,s6669,s6770,s6919,s8046,s8454,s9904,s9910
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,4.41925319503245,3.428373392185661,2.143807507284898,,5.345918374128606,6.4506745520930915,2.7021700777380304,6.207180899673668,4.373173699246114,4.396098037617173,3.5070066932852324,6.6485733525486,6.0161766967208905,4.5529443782068135,3.149645823137532,9.404620715723599,3.085781478263549,2.0552092811934184,6.132280934567825,5.795826614409912,6.206628041542738,9.081407846442156,7.107430370625898,5.524805497975904,4.607048297266004,5.509939679322742,9.268553575660038,7.318544194379751,3.32574418801774,7.734220645509546,5.474942194118604,4.471242796132353,12.15866885765717,3.5670603683628648,2.9463344876081785,11.902967837288932,6.530004011604091,7.576550827085864,7.429023162948713,1.182818235298676,5.698704253560978,9.047414438790607,7.554916069093305,1.8916049200286045,5.067757262311711,3.496159983859819,11.592878754573267,14.338879633955191,4.727902971855,9.311637112803947,4.702107614853712,2.881465412276066,1.3122726884525724,6.1498786963126095,9.468334223098005,5.817991657944351,7.623976169606916,9.993391627710345,10.283444068896218,8.95926426183316,8.823824926853105,6.859068682973622,10.235963451921714,6.953406794554671,2.345353142825546,5.05672797924895,3.1458961637836422,3.6661560474648733,4.564326805598322,5.083793909908755,2.4988869630061856,3.032053270593653,1.6122489407821472,2.586888456347242,5.353941144597325,3.2497344308767437,2.4312636607596168,2.8551957252779547,2.5909172259025524,6.633046276788719,14.603035021065931,6.663174781943894,11.648544295296139,2.205010566985438,5.174624078235061,3.544926975207528,14.705086937625135,8.244777198452708,13.360452029287448,6.976587000862781,4.662408143370179,5.752250498658019,10.173302614341464,4.796993066387087,2.3517840154631755,9.009645387296533,4.252760657519076,8.36809368353478,10.858711511979504,9.008760826037093,2.83844576684532,,,10.559513654337472,0.9636685487250817,9.826401336235273,5.576433486117555
