日期,s0050,s0056,s00632R,s00878,s1101,s1102,s1216,s1301,s1303,s1326,s1402,s1476,s1590,s1605,s1722,s1802,s2002,s2059,s2105,s2201,s2204,s2207,s2227,s2301,s2303,s2308,s2317,s2323,s2324,s2327,s2330,s2337,s2344,s2345,s2347,s2349,s2352,s2353,s2354,s2356,s2357,s2363,s2371,s2377,s2379,s2382,s2383,s2388,s2395,s2401,s2408,s2409,s2412,s2448,s2454,s2474,s2492,s2498,s2603,s2609,s2610,s2615,s2618,s2633,s2801,s2823,s2880,s2881,s2882,s2883,s2884,s2885,s2886,s2887,s2888,s2890,s2891,s2892,s2912,s3008,s3017,s3034,s3037,s3045,s3231,s3481,s3661,s3663,s3673,s3711,s4904,s4938,s5871,s5876,s5880,s6116,s6239,s6415,s6446,s6505,s6669,s6770,s6919,s8046,s8454,s9904,s9910
2020-02-07,35.00000000000001,70.0,-35.00000000000001,,15.0,70.0,10.0,65.0,70.0,65.0,70.0,45.0,-15.0,65.0,70.0,75.0,75.0,-30.0,35.00000000000001,70.0,85.0,15.0,40.0,10.0,75.0,45.0,15.0,70.0,15.0,70.0,35.00000000000001,-25.0,65.0,-20.0,-40.0,70.0,15.0,20.0,70.0,35.0,45.0,75.0,20.0,-90.0,-35.0,20.0,75.0,75.0,10.0,70.0,75.0,-20.0,75.0,-45.0,75.0,-60.0,70.0,75.0,35.00000000000001,70.0,70.0,70.0,45.0,70.0,-20.0,35.00000000000001,15.0,20.0,15.0,35.00000000000001,15.0,15.0,-40.0,15.0,75.0,15.0,15.0,15.0,40.00000000000001,35.00000000000001,75.0,35.00000000000001,35.00000000000001,65.0,20.0,-75.0,40.0,70.0,70.0,75.0,75.0,35.00000000000001,30.0,15.0,15.0,15.0,-30.0,-65.0,60.0,70.0,-65.0,,,20.0,-75.0,75.0,60.0
2020-02-10,35.0,70.0,-35.0,,15.0,70.0,10.0,65.0,70.0,65.0,70.0,50.0,-15.0,95.0,70.0,70.0,70.0,-30.0,35.0,-25.0,95.0,15.0,40.0,10.0,70.0,45.0,15.0,70.0,15.0,70.0,35.0,-25.0,65.0,-25.0,-40.0,70.0,15.0,20.0,70.0,-35.0,45.0,70.0,20.0,-70.0,-35.0,20.0,70.0,70.0,10.0,65.0,70.0,-20.0,70.0,-45.0,70.0,40.0,70.0,70.0,35.0,70.0,70.0,70.0,45.0,70.0,-25.0,35.0,15.0,20.0,15.0,35.0,15.0,15.0,-40.0,15.0,70.0,15.0,15.0,15.0,40.0,35.0,70.0,35.0,35.0,60.0,20.0,-75.0,45.0,70.0,70.0,70.0,70.0,35.0,30.000000000000007,15.0,15.0,15.0,-29.999999999999993,-65.0,60.0,70.0,-65.0,,,20.0,-60.0,70.0,60.0
2020-02-11,35.0,15.0,-35.0,,15.0,40.0,10.0,65.0,65.0,65.0,65.0,50.00000000000001,-15.0,90.0,35.0,65.0,15.0,-30.0,35.0,-30.0,90.0,15.0,40.0,10.0,-30.0,45.0,15.0,65.0,15.0,65.0,35.0,-25.0,65.0,-30.0,-40.0,65.0,15.0,20.0,15.0,-35.0,45.0,65.0,20.0,-70.0,-35.0,20.0,35.0,30.0,10.0,60.0,40.0,-20.0,65.0,-45.0,45.0,40.0,65.0,65.0,35.0,65.0,65.0,65.0,45.0,40.0,-30.0,35.0,15.0,20.0,15.0,35.0,15.0,15.0,-40.0,15.0,35.0,15.0,15.0,15.0,40.0,35.0,65.0,35.0,35.0,55.0,20.0,-70.0,45.0,65.0,65.0,30.0,65.0,35.0,30.0,15.0,15.0,15.0,-30.0,-65.0,60.0,70.0,-65.0,,,20.0,-90.0,65.0,55.0
2020-02-12,35.0,15.0,-35.0,,15.0,40.0,10.000000000000007,60.0,15.0,60.0,30.0,50.0,-15.0,85.0,35.0,35.0,15.0,-30.0,35.0,-30.0,85.0,15.0,40.0,10.000000000000007,-35.0,45.0,15.0,-30.0,15.0,-35.0,35.0,-25.0,60.0,-35.0,-40.0,60.0,15.0,20.000000000000007,15.0,-35.0,45.0,60.0,20.000000000000007,-90.0,-34.99999999999999,20.000000000000007,35.0,30.0,10.000000000000007,30.0,40.0,-20.0,60.0,-45.0,45.0,40.0,60.0,60.0,35.0,60.0,50.0,40.0,45.0,40.0,-30.0,35.0,15.0,20.000000000000007,15.0,35.0,15.0,15.0,-40.0,15.0,35.0,15.0,15.0,15.0,40.0,35.0,60.0,35.0,35.0,50.0,20.000000000000007,-65.0,45.00000000000001,60.0,60.0,30.0,60.0,35.0,30.0,15.0,15.0,15.0,-95.0,-65.0,60.0,60.0,-65.0,,,20.000000000000007,-90.0,60.0,50.0
2020-02-13,35.0,15.000000000000007,-35.0,,15.000000000000007,40.0,10.0,55.0,15.000000000000007,15.000000000000007,30.0,50.0,-15.0,75.0,35.0,35.0,15.000000000000007,-30.0,35.0,-30.0,40.00000000000001,15.000000000000007,40.0,10.0,-40.0,45.0,15.000000000000007,-30.0,15.000000000000007,-40.0,35.0,-25.0,35.0,-35.0,-39.99999999999999,50.0,15.000000000000007,20.0,15.000000000000007,-35.0,45.0,45.0,20.0,-90.0,-35.0,20.0,35.0,30.0,10.0,30.0,40.0,-20.0,55.0,-39.99999999999999,45.0,40.00000000000001,50.0,20.0,35.0,25.0,50.0,40.0,45.0,40.0,-40.0,35.0,15.000000000000007,20.0,15.000000000000007,35.0,15.000000000000007,15.000000000000007,-39.99999999999999,15.000000000000007,35.0,15.000000000000007,15.000000000000007,15.000000000000007,40.0,35.0,20.0,35.0,35.0,40.0,20.0,-60.0,45.0,50.0,20.0,30.0,55.0,35.0,30.0,15.000000000000007,15.000000000000007,15.000000000000007,-95.0,-60.0,55.0,60.0,-65.0,,,20.0,-80.0,40.0,40.0
2020-02-14,35.0,15.0,-35.0,,15.0,40.0,9.999999999999993,50.0,15.0,15.0,30.0,50.0,40.0,75.0,35.0,35.0,15.0,-30.000000000000007,35.0,-30.0,40.0,15.0,40.0,9.999999999999993,-40.0,45.0,15.0,-30.0,15.0,-45.0,35.0,-25.000000000000007,35.0,-35.0,4.999999999999993,50.0,15.0,20.0,15.0,-35.00000000000001,45.0,45.0,-45.0,-85.0,-30.0,20.0,35.0,30.0,9.999999999999993,30.0,40.0,-20.000000000000007,50.0,40.0,45.0,40.0,50.0,20.0,35.0,25.0,50.0,40.0,45.0,40.0,-45.0,35.0,15.0,20.0,15.0,35.0,15.0,15.0,-35.0,15.0,35.0,15.0,15.0,15.0,40.0,35.0,20.0,35.0,35.0,39.99999999999999,20.0,-15.000000000000007,45.0,50.0,20.0,30.0,50.0,35.0,30.0,15.0,15.0,15.0,-95.0,-55.0,50.0,55.0,-95.0,,,20.0,-95.0,40.0,39.99999999999999
2020-02-17,35.0,15.0,-35.0,,15.0,40.0,10.0,45.0,15.0,15.0,30.0,50.0,-50.0,70.0,35.0,35.0,15.0,-30.0,35.0,-30.0,40.0,15.0,40.0,10.0,-40.0,45.0,15.0,-30.0,15.0,-50.0,35.0,-25.0,35.0,-35.0,5.0,45.0,15.0,20.0,15.0,-35.0,95.0,45.0,-45.0,-80.0,20.0,20.0,35.0,30.0,10.0,29.999999999999993,-50.0,-20.0,45.0,40.0,45.0,40.0,-10.0,20.0,35.0,25.0,45.0,40.0,45.0,40.0,-45.0,35.0,15.0,20.0,15.0,35.0,15.0,15.0,-50.0,15.0,35.0,15.0,-50.0,15.0,40.0,35.0,20.0,35.0,35.0,35.0,20.0,-15.0,45.0,15.0,20.0,30.0,45.0,35.0,30.0,15.0,15.0,65.0,-90.0,-50.0,45.0,45.0,-45.0,,,20.0,-95.0,40.0,30.0
2020-02-18,34.99999999999999,14.999999999999993,-34.99999999999999,,14.999999999999993,39.99999999999999,10.0,39.99999999999999,14.999999999999993,14.999999999999993,29.999999999999993,50.0,-55.00000000000001,60.0,34.99999999999999,34.99999999999999,14.999999999999993,-30.0,34.99999999999999,-55.00000000000001,40.0,14.999999999999993,39.99999999999999,10.0,-40.00000000000001,14.999999999999993,14.999999999999993,-30.000000000000007,14.999999999999993,-55.00000000000001,34.99999999999999,-25.0,34.99999999999999,-35.00000000000001,5.0,34.99999999999999,14.999999999999993,19.999999999999993,14.999999999999993,-35.0,90.0,29.999999999999993,-55.00000000000001,-45.0,19.999999999999993,19.999999999999993,34.99999999999999,29.999999999999993,10.0,30.0,-50.00000000000001,-20.0,39.99999999999999,40.0,39.99999999999999,40.0,-55.00000000000001,19.999999999999993,34.99999999999999,24.999999999999993,34.99999999999999,39.99999999999999,39.99999999999999,39.99999999999999,-45.00000000000001,34.99999999999999,14.999999999999993,19.999999999999993,14.999999999999993,34.99999999999999,14.999999999999993,14.999999999999993,-55.00000000000001,14.999999999999993,34.99999999999999,14.999999999999993,-55.00000000000001,14.999999999999993,40.0,34.99999999999999,19.999999999999993,34.99999999999999,34.99999999999999,30.0,19.999999999999993,-15.0,45.0,14.999999999999993,19.999999999999993,29.999999999999993,39.99999999999999,34.99999999999999,29.999999999999993,14.999999999999993,14.999999999999993,65.0,-85.0,50.0,19.999999999999993,45.0,-45.00000000000001,,,19.999999999999993,-95.0,39.99999999999999,30.0
2020-02-19,35.0,15.0,-35.0,,15.0,30.0,10.0,35.0,15.0,15.0,30.0,50.0,-55.0,60.0,35.0,35.0,15.0,-30.0,35.0,-60.0,40.0,15.0,35.0,10.0,-40.0,15.0,15.0,-30.0,15.0,-55.0,35.0,45.0,35.0,-35.0,5.0,35.0,15.0,20.0,15.0,-35.0,90.0,30.0,-60.0,-45.0,20.0,20.0,35.0,30.0,10.0,30.0,-50.0,-20.0,-60.0,40.0,20.0,40.0,-55.0,20.0,35.0,25.0,35.0,35.0,35.0,35.0,-60.0,35.0,15.0,20.0,15.0,35.0,-60.0,15.0,-60.0,15.0,35.0,15.0,-60.0,15.0,39.99999999999999,35.0,20.0,35.0,35.0,-60.0,20.0,-14.999999999999993,45.0,15.0,20.0,30.0,35.0,35.0,30.0,15.0,15.0,65.0,-80.0,50.00000000000001,20.0,39.99999999999999,-45.0,,,20.0,-85.0,35.0,20.0
2020-02-20,30.0,15.0,-15.0,,15.0,30.0,10.0,15.0,15.0,15.0,30.0,50.0,-55.0,55.0,30.0,30.0,15.0,-30.0,15.0,-65.0,40.0,15.0,15.0,10.0,-40.0,15.0,15.0,-30.0,15.0,-55.0,30.0,45.0,30.0,-35.0,5.0,30.0,15.0,20.0,15.0,-75.0,70.0,30.0,-65.0,-75.0,20.0,20.0,30.0,30.0,10.0,10.0,-50.0,-19.999999999999993,-60.0,80.0,20.0,40.0,-55.0,20.0,30.0,25.0,30.0,30.0,15.0,15.0,-65.0,30.0,15.0,20.0,15.0,30.0,-65.0,15.0,-65.0,15.0,15.0,15.0,-65.0,-65.0,35.0,30.0,20.0,30.0,30.0,-60.0,20.0,-15.0,45.0,15.0,20.0,30.0,15.0,30.0,30.0,15.0,-65.0,65.0,-45.0,50.0,20.0,20.0,-65.0,,,-65.0,-85.0,30.0,20.0
