日期,s0050,s0056,s00632R,s00878,s1101,s1102,s1216,s1301,s1303,s1326,s1402,s1476,s1590,s1605,s1722,s1802,s2002,s2059,s2105,s2201,s2204,s2207,s2227,s2301,s2303,s2308,s2317,s2323,s2324,s2327,s2330,s2337,s2344,s2345,s2347,s2349,s2352,s2353,s2354,s2356,s2357,s2363,s2371,s2377,s2379,s2382,s2383,s2388,s2395,s2401,s2408,s2409,s2412,s2448,s2454,s2474,s2492,s2498,s2603,s2609,s2610,s2615,s2618,s2633,s2801,s2823,s2880,s2881,s2882,s2883,s2884,s2885,s2886,s2887,s2888,s2890,s2891,s2892,s2912,s3008,s3017,s3034,s3037,s3045,s3231,s3481,s3661,s3663,s3673,s3711,s4904,s4938,s5871,s5876,s5880,s6116,s6239,s6415,s6446,s6505,s6669,s6770,s6919,s8046,s8454,s9904,s9910
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,0.14466388888888856,0.11386666666666596,0.06222222222222218,,0.32572499999999965,0.1634388888888907,0.5293472222222242,0.7817194444444434,0.3153499999999987,0.2535083333333314,0.10329722222222297,3.271980555555539,25.198144444444438,0.05704166666666547,0.2566500000000005,0.04143333333333388,0.10993333333333233,2.8717583333333323,0.2717888888888898,0.15316111111111042,0.12108333333333476,5.955155555555564,0.6618805555555317,0.1597500000000013,0.06181388888888861,0.8726805555555615,0.8568000000000021,0.08830277777777755,0.06435555555555557,4.504766666666664,4.382813888888886,0.39948888888889006,0.1674277777777764,1.1196749999999962,0.2975499999999999,0.08273611111111052,0.1698777777777766,0.12237222222222204,0.28708888888888734,0.1505472222222224,0.6078027777777825,0.060172222222222516,0.2315861111111109,1.2792666666666648,5.133544444444444,0.536133333333332,1.7878861111111088,0.9239083333333333,3.096736111111118,0.17472499999999988,0.8813027777777785,0.08205555555555548,0.15493888888889273,0.7166666666666662,4.3192249999999985,3.1262444444444433,4.2194666666666665,0.4875000000000007,0.12722222222222226,0.012033333333333415,0.019894444444444066,0.046980555555554616,0.0794472222222223,0.2688611111111096,0.06042777777777886,0.20643888888888876,0.10045833333333369,0.21018333333333317,0.30608333333333526,0.07235555555555544,0.22868333333333327,0.1160361111111105,0.35290555555555514,0.05848888888888896,0.04541111111111137,0.050902777777777665,0.10804444444444528,0.1468999999999999,1.9708916666666738,93.92097222222226,0.43508611111111267,3.392727777777774,1.2471000000000008,0.6390833333333319,0.1938000000000001,0.2790805555555558,11.500647222222236,0.052841666666666974,0.6221111111111112,0.705786111111113,0.3760361111111088,0.4331083333333332,1.4446944444444416,0.49476944444444254,0.10476666666666674,0.12355555555555571,3.5238555555555586,16.388730555555565,1.2652333333333345,1.4202638888888874,26.6601638888889,,,1.651208333333333,1.6830944444444402,0.10512222222222019,1.0940555555555538
2020-01-17,0.15041666666666664,0.11778055555555571,0.06055555555555525,,0.3572527777777778,0.14146111111111281,0.6065527777777812,0.6870333333333344,0.32629722222222074,0.2580249999999988,0.08643055555555594,2.971372222222205,22.302661111111103,0.0402555555555543,0.1924888888888887,0.032644444444444844,0.1076666666666662,2.9463555555555465,0.26619166666666655,0.14009722222222187,0.0912972222222237,7.033647222222214,0.712011111111091,0.20118055555555614,0.06877500000000018,0.8120750000000072,0.8568027777777777,0.07431111111111093,0.0734055555555558,3.462866666666663,4.8396138888888816,0.42446388888889014,0.18741666666666568,1.7471888888888856,0.3479666666666663,0.058583333333333286,0.19381111111110982,0.15171111111111082,0.29634444444444225,0.15686388888888855,0.47887222222222664,0.02804444444444491,0.30079722222222216,1.5097499999999993,5.468799999999997,0.5758361111111098,1.9620305555555528,0.8316611111111113,3.246091666666677,0.16138055555555533,0.9561638888888903,0.09705000000000001,0.13280277777777863,0.6361111111111105,3.845899999999991,3.378672222222221,3.6545611111111165,0.4569444444444457,0.14149722222222186,0.009577777777777833,0.01940555555555538,0.05033611111111025,0.07360555555555592,0.3021861111111086,0.045322222222222784,0.19918888888888908,0.10648888888888959,0.2126611111111115,0.3123055555555574,0.07066666666666643,0.26456111111111075,0.13382499999999956,0.37116388888888824,0.061230555555555455,0.03959444444444463,0.06167222222222198,0.11220000000000081,0.1799833333333337,1.7202611111111186,97.89106388888892,0.30168888888889,2.6348694444444427,1.2434500000000004,0.5849222222222181,0.196891666666667,0.24005277777777811,12.094819444444449,0.0324166666666675,0.37725833333333253,0.8102000000000006,0.26706944444444386,0.42139722222222176,1.5558249999999962,0.5291916666666646,0.12191666666666674,0.12031388888888905,3.4598305555555577,17.35672777777778,1.4098277777777806,1.2208111111111084,20.197791666666678,,,1.6905222222222207,1.8558888888888845,0.07556111111110948,1.0152944444444476
2020-01-20,0.13052500000000045,0.12206111111111125,0.05972222222222179,,0.3839944444444446,0.14625277777777987,0.6131777777777797,0.5791416666666672,0.2671722222222203,0.26480833333333464,0.0716777777777781,2.323922222222213,14.27769166666667,0.038022222222221146,0.18161388888888771,0.023855555555556112,0.10199999999999972,3.0706805555555454,0.2393444444444436,0.14196111111111046,0.09226388888889048,9.26096388888889,0.7821972222222039,0.25641388888888983,0.06379722222222266,0.9332888888888959,1.0633972222222212,0.056822222222221885,0.08346111111111121,2.654874999999997,4.851961111111109,0.4426138888888911,0.17616666666666644,2.1039944444444436,0.3865111111111113,0.05447222222222218,0.19979444444444402,0.1496777777777778,0.31486111111111015,0.14317777777777727,0.47887500000000216,0.02268333333333361,0.30610555555555585,1.4716888888888893,5.09163333333333,0.516261111111111,1.9620361111111084,0.7688166666666673,3.1564722222222343,0.14196388888888864,0.9199416666666688,0.11154444444444452,0.11066666666666454,0.765277777777777,3.697983333333326,4.165077777777777,2.524752777777787,0.3791666666666676,0.12603611111111088,0.012038888888888858,0.019897222222222233,0.057886111111110715,0.057258333333334,0.2987416666666641,0.03323611111111132,0.16055277777777852,0.11955000000000116,0.21430555555555605,0.3133472222222237,0.06226111111111088,0.29236944444444407,0.14878611111111054,0.392458333333332,0.0685416666666665,0.04890833333333333,0.07929444444444418,0.1360805555555563,0.22573055555555577,1.503808333333339,74.75112777777774,0.22476666666666745,1.8770194444444381,1.1886333333333319,0.48744722222222,0.19999444444444472,0.194955555555556,12.002388888888882,0.039627777777778185,0.25233333333333263,0.9146027777777791,0.23929166666666765,0.40188055555555496,1.5187805555555514,0.5657527777777757,0.14954444444444448,0.15070833333333336,3.609897222222223,14.385516666666675,1.241133333333335,1.009333333333328,14.777738888888925,,,1.5606638888888884,2.003080555555556,0.07008333333333165,0.8314916666666718
2020-01-30,0.24665277777777858,0.2348361111111116,0.118611111111111,,0.5864999999999997,0.4721750000000024,0.8315500000000012,1.2485555555555574,0.6591805555555558,0.5907083333333342,0.206619444444445,4.659391666666664,13.029633333333322,0.09734999999999872,0.3588749999999988,0.13933888888888943,0.18928055555555487,4.0279305555555425,0.4708444444444441,0.36612777777777755,0.16912777777777954,12.496430555555568,2.6173861111111023,0.6065027777777795,0.16050833333333347,1.866588888888894,1.785355555555557,0.14054722222222202,0.13474444444444492,3.3352972222222186,6.444594444444438,0.7104500000000028,0.377347222222222,3.2851861111111114,0.49030555555555644,0.22455555555555526,0.3637111111111106,0.2700277777777777,0.9723499999999999,0.11685833333333306,1.501080555555556,0.12978333333333372,0.4631555555555564,1.5287833333333367,4.944961111111103,0.7307055555555569,2.832761111111109,0.9573499999999999,4.6998694444444595,0.24753055555555528,1.4004388888888901,0.16338055555555572,0.1549472222222216,0.6208333333333323,6.370394444444439,3.951475000000002,3.9197250000000046,0.7861111111111102,0.246122222222222,0.04940833333333342,0.13076111111111097,0.1711888888888883,0.21027222222222264,0.5182166666666651,0.10575277777777832,0.2583277777777789,0.171777777777779,0.3272277777777776,0.4783194444444459,0.10515555555555538,0.3004472222222212,0.22927499999999976,0.3813055555555547,0.09869999999999972,0.09433611111111102,0.12530277777777746,0.18386666666666743,0.2549111111111113,2.221541666666672,85.86736666666668,0.6730583333333341,2.194266666666659,1.3615666666666648,0.5524249999999972,0.3577083333333331,0.1971388888888891,11.672286111111111,0.2341638888888896,0.9519194444444459,1.3343333333333345,0.380297222222224,0.7608472222222211,2.5374888888888876,0.7399833333333312,0.1847972222222225,0.18856666666666685,3.467827777777778,9.693430555555574,2.2292138888888906,1.5356305555555518,13.897555555555604,,,1.6309666666666658,1.5039166666666688,0.4674583333333319,1.7855111111111175
2020-01-31,0.29670555555555644,0.28623333333333356,0.14583333333333304,,0.704944444444445,0.7034805555555573,0.9683000000000016,1.5127944444444452,0.8343861111111105,0.7536638888888897,0.2877972222222234,5.329980555555551,13.179411111111088,0.10182777777777652,0.3925861111111099,0.22345277777777847,0.2402916666666665,3.7420027777777705,0.649791666666666,0.5043555555555557,0.24791666666666737,17.162063888888895,3.8909916666666646,0.7248388888888909,0.234288888888889,2.5089861111111134,2.2833361111111117,0.217722222222222,0.16893333333333369,3.2168277777777754,6.555708333333324,0.6911555555555585,0.5610333333333335,3.629702777777775,0.46756944444444554,0.4049194444444444,0.40319444444444424,0.3388055555555554,1.3381472222222222,0.0884333333333327,2.145716666666663,0.20091944444444435,0.6215305555555565,1.2264083333333389,4.064933333333329,0.8180611111111121,4.086599999999997,1.2314527777777773,5.795188888888902,0.3239749999999999,1.731238888888889,0.1523222222222224,0.28775833333333384,0.49444444444444474,7.405822222222213,3.5728222222222286,5.499147222222224,1.0249999999999997,0.3364833333333331,0.07295000000000007,0.22465833333333318,0.24169722222222192,0.3259027777777783,0.6836749999999991,0.1742305555555562,0.3392027777777784,0.1888500000000007,0.3931916666666672,0.6038722222222231,0.13039444444444412,0.3031388888888878,0.24893333333333315,0.3103194444444437,0.12428888888888838,0.11902777777777758,0.14586944444444416,0.20879722222222283,0.2588111111111111,2.745605555555566,68.85270555555569,1.192269444444446,2.317636111111104,1.4979666666666642,0.5632499999999965,0.4813944444444444,0.17991111111111113,11.962763888888892,0.3758722222222228,1.4841055555555573,1.5431500000000007,0.5084972222222225,0.9754527777777776,3.296888888888887,0.8002277777777754,0.19241944444444492,0.2294194444444447,3.301738888888887,6.312158333333343,2.9521972222222224,1.9201388888888833,9.635638888888934,,,1.8048999999999988,1.4143194444444493,0.7860111111111104,1.9255416666666723
